ID,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Year
armsthi01,Hilton Armstrong,C,26,TOT,53,488,8.8,.508,.053,.434,9.5,21.6,15.4,4.2,1.9,3.3,23.6,10.9,-0.1,0.6,0.5,.045,-4.7,1.5,-3.1,-0.1,2011
armsthi01,Hilton Armstrong,C,26,WAS,41,412,8.6,.519,.047,.359,10.4,21.5,15.8,3.5,1.9,3.0,25.2,10.6,-0.1,0.4,0.4,.043,-4.5,1.2,-3.4,-0.1,2011
arroyca01,Hilton Armstrong,C,26,ATL,12,76,10.1,.457,.083,.833,4.8,22.0,13.5,7.8,2.1,5.0,15.5,12.1,-0.1,0.1,0.1,.054,-5.5,3.5,-2.0,0.0,2011
arroyca01,Carlos Arroyo,PG,31,TOT,64,1185,9.0,.528,.253,.172,2.2,7.9,5.2,15.8,0.9,0.1,17.0,14.0,0.5,1.1,1.7,.068,-2.1,-1.0,-3.1,-0.3,2011
arroyca01,Carlos Arroyo,PG,31,MIA,49,995,9.5,.541,.269,.147,1.6,7.5,4.8,15.3,0.7,0.1,14.5,13.9,0.8,0.9,1.6,.078,-1.5,-1.5,-3.0,-0.2,2011
arthuda01,Carlos Arroyo,PG,31,BOS,15,190,6.7,.447,.143,.343,4.8,9.8,7.4,18.6,2.0,0.0,29.7,14.5,-0.2,0.3,0.1,.016,-5.1,1.3,-3.8,-0.1,2011
asikom01,Darrell Arthur,PF,22,MEM,80,1609,15.7,.534,.010,.215,8.5,17.0,12.7,5.4,1.7,3.2,11.4,21.6,1.5,2.2,3.8,.113,-1.6,0.3,-1.3,0.3,2011
augusdj01,Omer Asik,C,24,CHI,82,989,11.8,.559,.000,1.028,13.7,22.3,18.1,4.7,1.1,4.3,23.8,12.5,0.5,2.2,2.7,.130,-3.5,3.0,-0.5,0.4,2011
babbilu01,D.J. Augustin,PG,23,CHA,82,2757,15.9,.541,.348,.310,1.7,8.3,4.9,31.1,1.0,0.1,12.5,21.2,4.9,1.3,6.2,.108,2.4,-2.8,-0.3,1.1,2011
balkmre01,Luke Babbitt,SF,21,POR,24,137,1.0,.305,.291,.164,5.1,22.4,13.4,6.9,0.8,1.2,11.9,22.8,-0.6,0.1,-0.4,-0.143,-9.6,-2.5,-12.0,-0.3,2011
balkmre01,Renaldo Balkman,SF,26,TOT,8,62,9.3,.542,.154,.308,3.7,9.1,6.5,4.7,3.2,2.4,6.3,11.3,0.1,0.1,0.1,.114,-1.9,1.0,-0.9,0.0,2011
balkmre01,Renaldo Balkman,SF,26,DEN,5,44,12.8,.604,.000,.444,2.7,7.6,5.2,6.6,3.4,3.4,0.0,10.9,0.1,0.1,0.2,.182,0.0,2.7,2.7,0.1,2011
banksma01,Renaldo Balkman,SF,26,NYK,3,18,0.7,.375,.500,.000,6.3,12.8,9.5,0.0,2.8,0.0,20.0,12.3,0.0,0.0,0.0,-0.050,-6.6,-3.1,-9.6,0.0,2011
barbole01,Marcus Banks,PG,29,TOR,3,22,6.8,.543,.000,4.000,0.0,5.5,2.7,17.2,2.3,0.0,26.6,15.3,0.0,0.0,0.0,.011,-5.0,-2.8,-7.8,0.0,2011
bareajo01,Leandro Barbosa,SG,28,TOR,58,1395,15.3,.539,.326,.210,1.2,7.4,4.2,14.6,1.9,0.3,10.5,25.6,1.4,0.1,1.5,.052,1.4,-3.5,-2.1,0.0,2011
bargnan01,J.J. Barea,PG,26,DAL,81,1669,14.8,.535,.291,.242,2.1,8.8,5.6,31.2,0.9,0.0,15.9,23.9,1.9,1.4,3.2,.093,0.6,-1.7,-1.1,0.4,2011
barnema02,Andrea Bargnani,C,25,TOR,66,2353,16.4,.533,.190,.298,3.6,13.9,8.6,8.8,0.7,1.5,10.3,28.2,2.2,0.3,2.5,.052,0.2,-2.9,-2.7,-0.4,2011
barroea01,Matt Barnes,SF,30,LAL,53,1020,14.6,.569,.384,.276,8.4,16.7,12.7,10.5,2.0,1.6,15.6,16.6,1.4,1.6,3.0,.142,0.6,1.2,1.8,1.0,2011
barroea01,Earl Barron,C,29,TOT,21,305,6.2,.361,.000,.242,12.1,17.2,14.6,5.8,1.4,1.5,12.7,18.9,-0.6,0.3,-0.2,-0.039,-6.3,-0.3,-6.6,-0.3,2011
barroea01,Earl Barron,C,29,PHO,12,183,1.5,.301,.000,.392,10.1,15.2,12.6,3.0,1.7,1.6,15.5,17.5,-0.5,0.1,-0.4,-0.106,-8.3,-0.2,-8.5,-0.3,2011
barroea01,Earl Barron,C,29,MIL,7,85,17.3,.475,.000,.054,16.0,14.1,15.1,9.2,1.3,1.9,5.0,22.0,0.1,0.1,0.2,.130,-0.7,-0.1,-0.9,0.0,2011
bassbr01,Earl Barron,C,29,POR,2,37,3.8,.295,.000,.182,12.7,34.6,23.1,12.2,0.0,0.0,20.2,18.8,-0.1,0.0,-0.1,-0.093,-9.2,-0.9,-10.1,-0.1,2011
battito01,Brandon Bass,PF,25,ORL,76,1980,15.9,.571,.003,.361,8.1,16.7,12.5,5.0,0.7,2.0,11.5,19.8,3.2,3.1,6.3,.153,-1.4,0.9,-0.5,0.7,2011
battish01,Tony Battie,C,34,PHI,38,377,9.5,.489,.031,.146,5.2,25.1,15.1,4.8,0.7,3.0,10.5,13.9,0.0,0.6,0.6,.075,-5.3,0.8,-4.5,-0.2,2011
battish01,Shane Battier,SF,32,TOT,82,2375,12.3,.567,.525,.183,4.4,13.7,9.0,11.1,1.5,2.4,12.6,11.7,2.9,2.2,5.1,.103,0.7,1.8,2.5,2.7,2011
battish01,Shane Battier,SF,32,HOU,59,1818,12.9,.577,.551,.186,3.6,13.9,8.8,12.1,1.5,2.7,12.5,12.3,2.3,1.7,4.0,.105,1.0,1.9,2.9,2.2,2011
batumni01,Shane Battier,SF,32,MEM,23,557,10.6,.530,.416,.168,6.8,13.0,9.9,7.9,1.5,1.5,12.9,10.1,0.5,0.6,1.1,.097,-0.2,1.3,1.2,0.4,2011
bayleje01,Nicolas Batum,SF,22,POR,80,2522,14.8,.563,.424,.203,5.1,12.8,8.8,8.1,1.5,1.6,8.6,17.8,4.4,2.3,6.6,.126,1.7,0.0,1.7,2.4,2011
bayleje01,Jerryd Bayless,PG,22,TOT,71,1496,14.1,.536,.282,.398,2.0,11.3,6.6,27.6,1.3,0.3,17.3,22.1,1.4,0.3,1.6,.053,0.5,-2.6,-2.1,0.0,2011
bayleje01,Jerryd Bayless,PG,22,NOH,11,149,7.2,.443,.286,.347,1.6,10.7,6.1,29.9,0.7,0.6,23.1,23.5,-0.3,0.1,-0.2,-0.050,-4.8,-2.2,-7.0,-0.2,2011
beaslmi01,Jerryd Bayless,PG,22,TOR,60,1347,14.9,.545,.282,.404,2.1,11.4,6.6,27.4,1.4,0.2,16.6,22.0,1.7,0.1,1.8,.064,1.1,-2.6,-1.6,0.1,2011
beaubro01,Michael Beasley,SF,22,MIN,73,2361,15.5,.510,.132,.234,5.4,14.1,9.6,12.3,1.1,1.7,12.4,28.3,0.7,1.0,1.7,.035,-0.8,-1.6,-2.4,-0.3,2011
belinma01,Rodrigue Beaubois,PG,22,DAL,28,496,11.4,.500,.372,.135,1.7,10.2,6.1,21.9,2.1,1.2,16.6,26.7,-0.4,0.7,0.2,.022,-1.4,-0.1,-1.5,0.1,2011
bellra01,Marco Belinelli,SG,24,NOH,80,1957,12.1,.560,.469,.181,1.1,8.4,4.7,8.0,1.1,0.3,9.4,20.0,1.9,1.5,3.4,.084,0.7,-1.7,-1.1,0.5,2011
bibbymi01,Charlie Bell,SG,31,GSW,19,171,4.7,.357,.488,.093,3.9,8.1,6.0,10.1,1.8,0.4,11.8,13.1,-0.2,0.0,-0.1,-0.040,-4.5,-1.9,-6.4,-0.2,2011
bibbymi01,Raja Bell,SG,34,UTA,68,2097,8.2,.528,.413,.218,1.8,8.4,5.1,8.3,1.4,0.5,11.0,12.6,1.2,0.5,1.7,.040,-0.8,-1.1,-1.9,0.1,2011
bibbymi01,Mike Bibby,PG,32,TOT,80,2285,10.9,.570,.604,.108,0.9,9.2,5.1,17.9,1.2,0.3,14.3,14.6,2.2,1.8,4.0,.085,0.6,-1.2,-0.6,0.8,2011
bibbymi01,Mike Bibby,PG,32,ATL,56,1674,11.7,.570,.580,.104,1.1,9.1,5.1,18.9,1.2,0.3,12.8,15.0,1.9,1.2,3.1,.089,1.0,-1.3,-0.3,0.7,2011
biedran01,Mike Bibby,PG,32,WAS,2,29,1.1,.111,.444,.000,0.0,12.2,5.9,37.8,1.8,0.0,10.0,15.2,-0.1,0.0,-0.1,-0.161,-7.9,-3.4,-11.3,-0.1,2011
billuch01,Mike Bibby,PG,32,MIA,22,582,9.0,.601,.698,.127,0.4,9.1,5.0,14.1,1.0,0.4,19.4,13.3,0.4,0.6,1.0,.084,0.0,-0.8,-0.9,0.2,2011
billuch01,Andris Biedrins,C,24,GSW,59,1397,12.1,.526,.000,.117,11.5,23.3,17.3,6.0,1.9,2.8,16.9,10.6,1.1,1.5,2.6,.088,-2.3,1.9,-0.3,0.6,2011
billuch01,Chauncey Billups,PG,34,TOT,72,2310,18.7,.617,.457,.528,1.3,8.1,4.7,25.8,1.5,0.5,15.3,22.3,6.6,1.4,8.0,.166,4.1,-2.1,1.9,2.3,2011
blairde01,Chauncey Billups,PG,34,DEN,51,1646,18.6,.634,.444,.535,0.9,7.7,4.4,25.1,1.6,0.6,16.3,21.4,4.7,1.1,5.8,.171,4.0,-1.6,2.4,1.8,2011
blakest01,Chauncey Billups,PG,34,NYK,21,664,19.1,.582,.484,.512,2.2,9.0,5.6,27.4,1.4,0.2,13.2,24.3,1.9,0.2,2.1,.155,4.2,-3.4,0.8,0.5,2011
blatcan01,DeJuan Blair,PF,21,SAS,81,1734,17.1,.524,.003,.235,14.8,22.9,18.9,7.1,2.8,1.7,14.9,20.1,1.5,3.2,4.8,.132,-1.1,2.2,1.1,1.3,2011
bledser01,Steve Blake,PG,30,LAL,79,1581,7.5,.500,.631,.098,1.4,9.5,5.6,15.0,1.3,0.1,18.6,11.3,0.3,1.5,1.8,.055,-1.9,-0.4,-2.3,-0.1,2011
boganke01,Andray Blatche,PF,24,WAS,64,2172,16.9,.497,.019,.296,9.3,18.7,13.8,11.7,2.3,1.8,13.7,25.5,0.3,2.1,2.4,.053,-1.0,0.6,-0.5,0.8,2011
bogutan01,Eric Bledsoe,PG,21,LAC,81,1841,10.8,.499,.239,.274,4.4,9.8,7.1,24.2,2.6,1.1,26.3,17.9,-1.3,1.6,0.3,.008,-2.6,0.6,-2.0,0.0,2011
bonnema01,Keith Bogans,SG,30,CHI,82,1461,9.0,.559,.772,.104,1.6,10.1,5.9,10.1,1.4,0.5,11.3,11.4,1.4,2.2,3.6,.118,-0.4,0.4,0.0,0.7,2011
booketr01,Andrew Bogut,C,26,MIL,65,2297,16.7,.496,.005,.292,9.8,27.1,18.3,10.4,1.1,5.8,13.0,19.6,0.3,5.1,5.4,.112,-2.6,5.0,2.4,2.6,2011
boozeca01,Matt Bonner,PF,30,SAS,66,1432,13.5,.617,.620,.116,5.0,14.2,9.7,6.2,0.9,1.0,6.5,13.4,3.0,1.4,4.4,.147,2.1,-0.1,2.0,1.5,2011
boshch01,Trevor Booker,PF,23,WAS,65,1063,15.3,.582,.004,.399,10.2,17.0,13.5,5.2,1.4,3.0,11.3,13.9,1.8,0.8,2.6,.119,-1.0,0.3,-0.7,0.3,2011
boykiea01,Carlos Boozer,C,29,CHI,59,1882,18.8,.542,.000,.289,8.3,26.3,17.6,14.3,1.3,0.7,13.5,26.9,1.9,3.9,5.8,.149,-0.7,1.4,0.7,1.3,2011
brackcr01,Chris Bosh,PF,26,MIA,77,2795,19.4,.569,.024,.446,6.4,20.0,13.6,8.9,1.1,1.4,9.8,23.5,6.1,4.3,10.3,.177,0.1,0.3,0.4,1.7,2011
bradlav01,Earl Boykins,PG,34,MIL,57,862,17.6,.526,.202,.233,2.0,5.5,3.7,30.9,2.4,0.3,11.8,23.9,1.1,1.1,2.3,.125,0.8,-1.8,-1.0,0.2,2011
brandel01,Craig Brackins,PF,23,PHI,3,33,0.1,.250,.313,.000,7.0,7.0,7.0,4.6,1.6,0.0,0.0,22.3,-0.1,0.0,-0.1,-0.154,-7.8,-3.7,-11.5,-0.1,2011
breweco01,Avery Bradley,PG,20,BOS,31,162,2.2,.360,.075,.179,3.2,9.3,6.5,11.9,3.0,0.0,18.1,26.1,-0.8,0.3,-0.5,-0.139,-9.6,0.0,-9.7,-0.3,2011
breweco01,Elton Brand,PF,31,PHI,81,2809,18.5,.553,.001,.278,9.7,18.0,13.9,7.1,1.7,2.9,8.4,19.7,5.1,4.4,9.4,.161,0.5,1.9,2.4,3.1,2011
brewero02,Corey Brewer,SF-SG,24,TOT,69,1510,11.0,.482,.230,.393,4.2,8.9,6.5,9.1,3.3,0.8,13.2,18.8,-0.1,1.3,1.1,.036,-1.7,0.5,-1.3,0.3,2011
brockjo01,Corey Brewer,SF,24,MIN,56,1362,10.3,.471,.227,.391,3.6,9.0,6.2,8.6,3.3,0.8,13.1,18.4,-0.4,1.0,0.6,.023,-2.2,0.3,-1.9,0.1,2011
brookaa01,Corey Brewer,SG,24,DAL,13,148,17.6,.573,.255,.412,9.9,8.4,9.1,13.3,3.9,1.0,14.2,22.2,0.3,0.3,0.5,.163,2.1,1.8,3.9,0.2,2011
brookaa01,Ronnie Brewer,SG,25,CHI,81,1781,13.8,.518,.063,.311,3.7,13.2,8.6,12.1,3.2,0.9,10.2,13.9,1.7,3.8,5.4,.147,-1.4,3.2,1.8,1.7,2011
brookaa01,Jon Brockman,C,23,MIL,63,677,9.6,.567,.000,.628,12.4,19.4,15.8,4.2,1.1,0.3,16.7,10.0,0.8,1.0,1.9,.132,-3.0,0.7,-2.2,0.0,2011
brownde04,Aaron Brooks,PG,26,TOT,59,1284,13.1,.489,.402,.239,1.8,5.2,3.5,28.9,1.3,0.2,13.2,25.9,0.7,0.4,1.1,.040,0.4,-4.0,-3.5,-0.5,2011
brownde04,Aaron Brooks,PG,26,HOU,34,811,11.7,.465,.437,.214,1.5,5.6,3.6,25.2,1.3,0.2,11.5,26.1,0.1,0.3,0.4,.023,-0.1,-3.9,-4.0,-0.4,2011
brownde04,Aaron Brooks,PG,26,PHO,25,473,15.6,.533,.335,.285,2.2,4.4,3.3,35.3,1.4,0.2,16.4,25.7,0.6,0.1,0.7,.070,1.4,-4.1,-2.8,-0.1,2011
