Philadelphia 76ers,103,Oklahoma City Thunder,109,2011
Utah Jazz,104,Orlando Magic,94,2011
Minnesota Timberwolves,98,Sacramento Kings,89,2011
Los Angeles Clippers,95,San Antonio Spurs,107,2011
Charlotte Bobcats,101,Toronto Raptors,96,2011
Houston Rockets,91,Washington Wizards,98,2011
Golden State Warriors,90,Chicago Bulls,120,2011
Los Angeles Lakers,112,Denver Nuggets,118,2011
Boston Celtics,112,Miami Heat,107,2011
Utah Jazz,90,Atlanta Hawks,86,2011
Philadelphia 76ers,90,Dallas Mavericks,99,2011
Houston Rockets,102,Indiana Pacers,99,2011
Detroit Pistons,113,Los Angeles Clippers,107,2011
New York Knicks,103,Minnesota Timberwolves,112,2011
Portland Trail Blazers,108,Oklahoma City Thunder,110,2011
Toronto Raptors,110,Orlando Magic,106,2011
Sacramento Kings,89,Phoenix Suns,103,2011
Charlotte Bobcats,93,Washington Wizards,85,2011
Utah Jazz,96,Charlotte Bobcats,95,2011
Washington Wizards,96,Chicago Bulls,103,2011
Indiana Pacers,99,Cleveland Cavaliers,85,2011
Boston Celtics,116,Memphis Grizzlies,110,2011
Toronto Raptors,100,Miami Heat,109,2011
Golden State Warriors,72,Milwaukee Bucks,79,2011
Orlando Magic,91,New Jersey Nets,90,2011
Portland Trail Blazers,87,New Orleans Hornets,107,2011
Philadelphia 76ers,93,San Antonio Spurs,116,2011
Minnesota Timberwolves,105,Atlanta Hawks,111,2011
Phoenix Suns,121,Los Angeles Lakers,116,2011
Houston Rockets,104,New York Knicks,96,2011
San Antonio Spurs,117,Oklahoma City Thunder,104,2011
Detroit Pistons,100,Sacramento Kings,94,2011
Minnesota Timberwolves,110,Charlotte Bobcats,113,2011
New Orleans Hornets,95,Dallas Mavericks,98,2011
Detroit Pistons,97,Golden State Warriors,101,2011
New Jersey Nets,110,Los Angeles Clippers,96,2011
Memphis Grizzlies,72,Orlando Magic,89,2011
Denver Nuggets,94,Phoenix Suns,100,2011
Oklahoma City Thunder,115,Utah Jazz,108,2011
Philadelphia 76ers,93,Cleveland Cavaliers,101,2011
New York Knicks,118,Denver Nuggets,120,2011
Chicago Bulls,95,Houston Rockets,92,2011
Atlanta Hawks,102,Indiana Pacers,92,2011
Portland Trail Blazers,100,Memphis Grizzlies,99,2011
Los Angeles Lakers,118,Milwaukee Bucks,107,2011
Toronto Raptors,94,Washington Wizards,109,2011
Washington Wizards,83,Boston Celtics,114,2011
Los Angeles Lakers,103,Detroit Pistons,90,2011
Phoenix Suns,96,Miami Heat,123,2011
Los Angeles Clippers,111,Minnesota Timberwolves,113,2011
Dallas Mavericks,97,New Orleans Hornets,99,2011
Houston Rockets,99,Oklahoma City Thunder,116,2011
Toronto Raptors,94,Philadelphia 76ers,86,2011
New York Knicks,113,Sacramento Kings,106,2011
Chicago Bulls,94,San Antonio Spurs,103,2011
New Jersey Nets,88,Utah Jazz,98,2011
Los Angeles Clippers,80,Indiana Pacers,107,2011
Phoenix Suns,89,Orlando Magic,105,2011
Denver Nuggets,83,Portland Trail Blazers,86,2011
Oklahoma City Thunder,89,Boston Celtics,84,2011
Chicago Bulls,88,Dallas Mavericks,83,2011
New York Knicks,125,Golden State Warriors,119,2011
Charlotte Bobcats,87,Miami Heat,95,2011
Los Angeles Lakers,112,Minnesota Timberwolves,95,2011
Cleveland Cavaliers,101,New Orleans Hornets,108,2011
Milwaukee Bucks,79,Philadelphia 76ers,90,2011
New Jersey Nets,81,Sacramento Kings,86,2011
Houston Rockets,96,Toronto Raptors,106,2011
San Antonio Spurs,94,Utah Jazz,82,2011
Memphis Grizzlies,86,Washington Wizards,89,2011
Dallas Mavericks,98,Atlanta Hawks,93,2011
