Miami Heat,105,Dallas Mavericks,94,2012,1364.8390479,1333.487514
Los Angeles Clippers,105,Golden State Warriors,86,2012,1163.36741568,1185.84839499
Chicago Bulls,88,Los Angeles Lakers,87,2012,1437.98169962,1348.93643935
Boston Celtics,104,New York Knicks,106,2012,1255.69112437,1196.51743813
Orlando Magic,89,Oklahoma City Thunder,97,2012,1296.86881582,1353.62660392
Milwaukee Bucks,95,Charlotte Hornets,96,2012,1179.44207052,1123.7898575
Toronto Raptors,104,Cleveland Cavaliers,96,2012,987.391292653,1027.44715763
Denver Nuggets,115,Dallas Mavericks,93,2012,1308.61494227,1318.92739942
Chicago Bulls,91,Golden State Warriors,99,2012,1449.96850179,1168.81455006
Detroit Pistons,79,Indiana Pacers,91,2012,1099.08822929,1167.77468983
Oklahoma City Thunder,104,Minnesota Timberwolves,100,2012,1367.03581719,940.773345065
Houston Rockets,95,Orlando Magic,104,2012,1264.5899364,1283.45960255
New Orleans Pelicans,85,Phoenix Suns,84,2012,1225.6653647,1181.23615499
Philadelphia 76ers,103,Portland Trail Blazers,107,2012,1190.05118331,1320.06922644
Los Angeles Lakers,91,Sacramento Kings,100,2012,1336.94963718,1131.68972838
Memphis Grizzlies,82,San Antonio Spurs,95,2012,1294.99249462,1297.20616279
Brooklyn Nets,90,Washington Wizards,84,2012,996.900566608,1050.34450339
Utah Jazz,71,Los Angeles Lakers,96,2012,1121.78966999,1312.46227209
Boston Celtics,107,Miami Heat,115,2012,1236.99212209,1379.39916248
Minnesota Timberwolves,95,Milwaukee Bucks,98,2012,938.24010577,1160.90088787
Atlanta Hawks,106,Brooklyn Nets,70,2012,1153.97892983,1015.3425208
Sacramento Kings,79,Portland Trail Blazers,101,2012,1156.17709347,1330.34636038
Washington Wizards,83,Atlanta Hawks,101,2012,1031.90254919,1163.91306288
Miami Heat,96,Charlotte Hornets,95,2012,1389.18522435,1142.33104015
Utah Jazz,100,Denver Nuggets,117,2012,1113.78359309,1325.08970906
Cleveland Cavaliers,105,Detroit Pistons,89,2012,1009.61064652,1086.21078317
New York Knicks,78,Golden State Warriors,92,2012,1215.21644041,1195.52116014
Oklahoma City Thunder,98,Memphis Grizzlies,95,2012,1369.56905649,1279.09443643
Boston Celtics,78,New Orleans Pelicans,97,2012,1227.20606023,1239.63040425
Philadelphia 76ers,103,Phoenix Suns,83,2012,1179.77404937,1167.27111544
Los Angeles Clippers,90,San Antonio Spurs,115,2012,1180.40126061,1313.10422099
Indiana Pacers,90,Toronto Raptors,85,2012,1180.65213596,1005.22780376
San Antonio Spurs,85,Houston Rockets,105,2012,1323.27382772,1249.45806323
New York Knicks,82,Los Angeles Lakers,99,2012,1198.31040953,1320.468349
