Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P,2P,2PA,2P,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Memphis Grizzlies*,82,19805,2748,6312,.435,504,1489,.338,2244,4823,.465,1319,1763,.748,845,2359,3204,1599,600,450,1268,1643,7319
2,Indiana Pacers*,81,19590,2797,6657,.420,440,1344,.327,2357,5313,.444,1314,1728,.760,909,2401,3310,1555,611,459,1096,1777,7348
3,Chicago Bulls*,82,19830,2906,6565,.443,453,1309,.346,2453,5256,.467,1350,1826,.739,901,2469,3370,1545,600,477,1123,1609,7615
4,Los Angeles Clippers*,82,19730,2834,6397,.443,627,1682,.373,2207,4715,.468,1465,1956,.749,891,2315,3206,1812,606,335,1319,1712,7760
5,Miami Heat*,82,19880,2919,6633,.440,624,1783,.350,2295,4850,.473,1329,1735,.766,921,2369,3290,1655,649,262,1280,1673,7791
6,Brooklyn Nets*,82,19855,3066,6614,.464,518,1415,.366,2548,5199,.490,1148,1571,.731,878,2336,3214,1756,614,390,1102,1751,7798
7,Boston Celtics*,81,19840,2926,6639,.441,550,1610,.342,2376,5029,.472,1434,1937,.740,925,2603,3528,1752,634,378,1239,1574,7836
8,New York Knicks*,82,19730,2916,6365,.458,639,1789,.357,2277,4576,.498,1378,1821,.757,824,2591,3415,1580,523,327,1242,1576,7849
9,Washington Wizards,82,19855,2944,6697,.440,586,1680,.349,2358,5017,.470,1378,1867,.738,903,2719,3622,1767,639,358,1193,1569,7852
10,Philadelphia 76ers,82,19755,3017,6643,.454,549,1574,.349,2468,5069,.487,1331,1752,.760,903,2704,3607,1870,590,396,1175,1331,7914
11,Oklahoma City Thunder*,82,19830,2966,6972,.425,610,1761,.346,2356,5211,.452,1372,1773,.774,987,2350,3337,1681,673,322,1212,1698,7914
12,San Antonio Spurs*,82,19880,3079,6960,.442,519,1471,.353,2560,5489,.466,1246,1639,.760,912,2577,3489,1756,675,405,1221,1565,7923
13,Atlanta Hawks*,82,19855,3073,6823,.450,620,1635,.379,2453,5188,.473,1233,1617,.763,928,2659,3587,1825,689,350,1249,1543,7999
14,New Orleans Hornets,82,19780,3030,6435,.471,632,1688,.374,2398,4747,.505,1339,1764,.759,835,2391,3226,1915,648,492,1086,1534,8031
15,Utah Jazz,82,19880,3003,6550,.458,560,1513,.370,2443,5037,.485,1479,1953,.757,901,2446,3347,1689,640,480,1206,1670,8045
16,Minnesota Timberwolves,82,19730,3113,6657,.468,576,1559,.369,2537,5098,.498,1243,1652,.752,871,2583,3454,1832,661,481,1302,1847,8045
17,Toronto Raptors,82,19980,2971,6493,.458,546,1511,.361,2425,4982,.487,1604,2148,.747,877,2544,3421,1796,578,387,1169,1650,8092
18,Detroit Pistons,82,19805,3056,6655,.459,604,1676,.360,2452,4979,.492,1389,1823,.762,911,2514,3425,1837,691,472,1126,1630,8105
19,Golden State Warriors*,82,19805,3051,6954,.439,657,1896,.347,2394,5058,.473,1464,1958,.748,907,2596,3503,1931,670,399,1110,1571,8223
20,Milwaukee Bucks*,82,19830,3152,6946,.454,529,1519,.348,2623,5427,.483,1398,1841,.759,1019,2757,3776,1893,658,362,1310,1567,8231
21,Portland Trail Blazers,82,19855,3224,6807,.474,521,1531,.340,2703,5276,.512,1286,1690,.761,901,2578,3479,1944,691,359,1074,1537,8255
22,Los Angeles Lakers*,82,19755,3253,7180,.453,613,1718,.357,2640,5462,.483,1167,1594,.732,947,2551,3498,1918,696,396,1061,1891,8286
23,Denver Nuggets*,82,19905,3121,7025,.444,687,1894,.363,2434,5131,.474,1358,1858,.731,1020,2391,3411,1936,658,554,1305,1775,8287
24,Orlando Magic,82,19780,3169,6842,.463,617,1721,.359,2552,5121,.498,1336,1811,.738,888,2618,3506,1946,592,430,1020,1353,8291
25,Cleveland Cavaliers,82,19730,3109,6527,.476,610,1639,.372,2499,4888,.511,1469,1987,.739,889,2563,3452,1963,624,560,1249,1615,8297
26,Phoenix Suns,82,19805,3181,6771,.470,568,1464,.388,2613,5307,.492,1405,1855,.757,958,2598,3556,1870,684,421,1258,1511,8335
27,Dallas Mavericks,82,19980,3067,6890,.445,642,1789,.359,2425,5101,.475,1566,2079,.753,985,2752,3737,1805,698,340,1202,1547,8342
28,Houston Rockets*,82,19780,3184,7007,.454,661,1798,.368,2523,5209,.484,1374,1771,.776,876,2539,3415,1858,693,498,1210,1674,8403
29,Charlotte Bobcats,82,19805,3185,6762,.471,716,1847,.388,2469,4915,.502,1332,1784,.747,971,2645,3616,2071,569,565,1152,1746,8418
30,Sacramento Kings,82,19830,3222,6831,.472,625,1762,.355,2597,5069,.512,1550,1980,.783,973,2601,3574,2058,624,517,1208,1636,8619
