<<<<<<< HEAD
Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
22,Washington Wizards,66,15865,2414,5475,0.441,344,1075,0.32,2070,4400,0.47,1008,1386,0.727,775,1975,2750,1262,527,417,1008,1405,6180
23,Philadelphia 76ers,66,15915,2471,5516,0.448,349,963,0.362,2122,4553,0.466,889,1198,0.742,704,2144,2848,1453,526,340,738,1157,6180
24,Brooklyn Nets,66,15890,2262,5320,0.425,507,1481,0.342,1755,3839,0.457,1113,1433,0.777,783,1879,2662,1311,493,260,995,1268,6144
25,Cleveland Cavaliers,66,15965,2261,5360,0.422,440,1273,0.346,1821,4087,0.446,1178,1645,0.716,841,1949,2790,1308,466,262,1017,1317,6140
26,Boston Celtics,66,15940,2341,5086,0.46,363,988,0.367,1978,4098,0.483,1017,1308,0.778,509,2051,2560,1557,498,362,979,1315,6062
27,Detroit Pistons,66,15965,2291,5232,0.438,317,916,0.346,1974,4316,0.457,1098,1461,0.752,775,1882,2657,1232,460,278,1033,1293,5997
28,Toronto Raptors,66,15965,2268,5154,0.44,365,1075,0.34,1903,4079,0.467,1085,1410,0.77,697,2074,2771,1382,429,321,1001,1532,5986
29,New Orleans Pelicans,66,15940,2300,5103,0.451,259,777,0.333,2041,4326,0.472,1057,1397,0.757,724,1991,2715,1368,488,316,1024,1324,5916
30,Charlotte Hornets,66,15890,2193,5293,0.414,263,892,0.295,1930,4401,0.439,1090,1462,0.746,677,1894,2571,1326,397,361,957,1249,5739
=======
Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P,2P,2PA,2P,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Chicago Bulls*,66,15940,2284,5420,.421,305,939,.325,1979,4481,.442,946,1279,.740,750,1889,2639,1245,490,343,876,1166,5819
2,Boston Celtics*,66,15940,2207,5262,.419,344,1117,.308,1863,4145,.449,1138,1498,.760,781,2070,2851,1233,515,304,1035,1217,5896
3,Philadelphia 76ers*,66,15915,2263,5302,.427,357,1070,.334,1906,4232,.450,1017,1352,.752,706,2181,2887,1293,391,316,918,1070,5900
4,Miami Heat*,66,16040,2285,5267,.434,479,1318,.363,1806,3949,.457,1056,1457,.725,727,1897,2624,1297,549,280,1107,1356,6105
5,Memphis Grizzlies*,66,15940,2278,5132,.444,417,1209,.345,1861,3923,.474,1163,1522,.764,729,1954,2683,1274,518,363,1130,1275,6136
6,Atlanta Hawks*,66,16165,2380,5366,.444,391,1137,.344,1989,4229,.470,997,1324,.753,712,2079,2791,1354,494,313,999,1263,6148
7,Orlando Magic*,66,15965,2372,5287,.449,414,1192,.347,1958,4095,.478,1005,1302,.772,667,2061,2728,1350,495,273,867,1308,6163
8,New Orleans Hornets,66,15940,2305,5188,.444,425,1342,.317,1880,3846,.489,1129,1487,.759,731,1910,2641,1379,523,380,915,1235,6164
9,Toronto Raptors,66,15965,2234,5130,.435,401,1224,.328,1833,3906,.469,1335,1795,.744,677,1997,2674,1327,478,322,870,1214,6204
10,Indiana Pacers*,66,15990,2305,5304,.435,442,1259,.351,1863,4045,.461,1179,1617,.729,794,1998,2792,1292,433,398,985,1428,6231
11,New York Knicks*,66,15940,2316,5238,.442,444,1238,.359,1872,4000,.468,1171,1590,.736,717,2045,2762,1248,536,334,1125,1437,6247
12,Dallas Mavericks*,66,16065,2347,5390,.435,473,1368,.346,1874,4022,.466,1092,1456,.750,725,2173,2898,1351,561,265,971,1213,6259
13,Los Angeles Clippers*,66,15965,2279,5098,.447,460,1261,.365,1819,3837,.474,1251,1678,.746,712,1914,2626,1368,396,296,966,1401,6269
14,Detroit Pistons,66,15965,2378,5147,.462,395,1114,.355,1983,4033,.492,1162,1518,.765,703,1985,2688,1485,563,348,959,1283,6313
15,Los Angeles Lakers*,66,16065,2492,5703,.437,443,1274,.348,2049,4429,.463,901,1215,.742,758,1946,2704,1446,556,302,745,1332,6328
16,San Antonio Spurs*,66,15940,2512,5560,.452,412,1166,.353,2100,4394,.478,932,1233,.756,680,2039,2719,1291,489,330,906,1244,6368
17,Oklahoma City Thunder*,66,15990,2405,5629,.427,421,1231,.342,1984,4398,.451,1167,1519,.768,835,1889,2724,1312,542,321,937,1322,6398
18,Portland Trail Blazers,66,15965,2476,5349,.463,442,1217,.363,2034,4132,.492,1062,1421,.747,730,2062,2792,1392,499,314,982,1306,6456
19,Houston Rockets,66,16065,2474,5427,.456,369,1136,.325,2105,4291,.491,1142,1490,.766,729,2027,2756,1321,495,340,972,1215,6459
20,Washington Wizards,66,15865,2422,5352,.453,426,1216,.350,1996,4136,.483,1227,1618,.758,811,2062,2873,1420,520,300,1004,1231,6497
21,Phoenix Suns,66,15840,2505,5510,.455,398,1131,.352,2107,4379,.481,1100,1444,.762,802,2064,2866,1416,526,288,929,1293,6508
22,Milwaukee Bucks,66,15865,2449,5453,.449,438,1247,.351,2011,4206,.478,1181,1535,.769,813,2138,2951,1433,499,297,1049,1278,6517
23,Utah Jazz*,66,16165,2403,5310,.453,428,1259,.340,1975,4051,.488,1302,1727,.754,728,1988,2716,1355,494,375,968,1366,6536
24,New Jersey Nets,66,15890,2501,5294,.472,431,1151,.374,2070,4143,.500,1106,1494,.740,780,2032,2812,1539,525,330,943,1274,6539
25,Minnesota Timberwolves,66,15940,2572,5656,.455,406,1195,.340,2166,4461,.486,1059,1402,.755,771,2096,2867,1422,549,377,875,1435,6609
26,Cleveland Cavaliers,66,15965,2536,5431,.467,448,1236,.362,2088,4195,.498,1095,1464,.748,752,2073,2825,1527,524,409,917,1381,6615
27,Charlotte Bobcats,66,15890,2568,5411,.475,406,1142,.356,2162,4269,.506,1115,1486,.750,778,2193,2971,1537,499,378,890,1341,6657
28,Golden State Warriors,66,15915,2461,5431,.453,468,1281,.365,1993,4150,.480,1288,1725,.747,869,2157,3026,1527,499,328,978,1095,6678
29,Denver Nuggets*,66,16040,2541,5569,.456,571,1489,.383,1970,4080,.483,1029,1356,.759,730,1928,2658,1528,524,439,1028,1452,6682
30,Sacramento Kings,66,15915,2668,5609,.476,439,1236,.355,2229,4373,.510,1118,1468,.762,815,2154,2969,1571,518,423,1014,1313,6893
>>>>>>> parent of 441e414... Remove more asterisks
