<<<<<<< HEAD
Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Denver Nuggets,66,16040,2572,5404,0.476,435,1311,0.332,2137,4093,0.522,1293,1760,0.735,738,2105,2843,1581,540,330,1015,1297,6872
2,San Antonio Spurs,66,15940,2611,5463,0.478,552,1405,0.393,2059,4058,0.507,1067,1427,0.748,683,2153,2836,1528,490,293,895,1143,6841
3,Oklahoma City Thunder,66,15990,2462,5229,0.471,472,1317,0.358,1990,3912,0.509,1406,1744,0.806,726,2157,2883,1224,498,539,1079,1352,6802
4,Utah Jazz,66,16165,2523,5531,0.456,273,845,0.323,2250,4686,0.48,1258,1668,0.754,861,2055,2916,1439,545,385,936,1441,6577
5,Milwaukee Bucks,66,15865,2502,5652,0.443,436,1265,0.345,2066,4387,0.471,1095,1415,0.774,820,1983,2803,1550,548,335,929,1273,6535
6,Sacramento Kings,66,15915,2490,5712,0.436,411,1301,0.316,2079,4411,0.471,1127,1532,0.736,882,1947,2829,1271,561,323,952,1287,6518
7,Miami Heat,66,16040,2446,5212,0.469,370,1030,0.359,2076,4182,0.496,1238,1598,0.775,686,2060,2746,1317,585,355,1002,1282,6500
8,Phoenix Suns,66,15840,2495,5445,0.458,444,1295,0.343,2051,4150,0.494,1058,1397,0.757,717,2035,2752,1486,431,366,928,1233,6492
9,Houston Rockets,66,16065,2489,5543,0.449,478,1330,0.359,2011,4213,0.477,1018,1301,0.782,769,2014,2783,1404,496,319,955,1347,6474
10,Minnesota Timberwolves,66,15940,2355,5434,0.433,473,1423,0.332,1882,4011,0.469,1281,1662,0.771,797,2089,2886,1290,436,293,1001,1212,6464
11,New York Knicks,66,15940,2365,5335,0.443,517,1538,0.336,1848,3797,0.487,1211,1634,0.741,743,2012,2755,1328,622,276,1056,1391,6458
12,Golden State Warriors,66,15915,2489,5443,0.457,524,1351,0.388,1965,4092,0.48,951,1235,0.77,640,1947,2587,1470,528,362,915,1410,6453
13,Indiana Pacers,66,15990,2354,5375,0.438,392,1064,0.368,1962,4311,0.455,1349,1724,0.782,826,2070,2896,1228,523,357,925,1430,6449
14,Los Angeles Clippers,66,15965,2439,5366,0.455,514,1441,0.357,1925,3925,0.49,1046,1538,0.68,800,1943,2743,1385,556,315,879,1399,6438
15,Los Angeles Lakers,66,16065,2429,5319,0.457,362,1112,0.326,2067,4207,0.491,1202,1589,0.756,799,2251,3050,1485,390,351,997,1109,6422
16,Portland Trail Blazers,66,15965,2402,5417,0.443,478,1382,0.346,1924,4035,0.477,1133,1423,0.796,735,1949,2684,1349,528,322,935,1251,6415
17,Atlanta Hawks,66,16165,2429,5348,0.454,492,1330,0.37,1937,4018,0.482,1025,1385,0.74,652,2066,2718,1481,536,303,921,1178,6375
18,Chicago Bulls,66,15940,2467,5462,0.452,419,1117,0.375,2048,4345,0.471,1006,1394,0.722,915,2165,3080,1527,456,388,923,1139,6359
19,Dallas Mavericks,66,16065,2398,5412,0.443,497,1464,0.339,1901,3948,0.482,1029,1334,0.771,665,2157,2822,1380,565,337,926,1226,6322
20,Memphis Grizzlies,66,15940,2425,5422,0.447,277,849,0.326,2148,4573,0.47,1142,1504,0.759,831,1944,2775,1290,631,345,955,1316,6269
21,Orlando Magic,66,15965,2275,5162,0.441,670,1785,0.375,1605,3377,0.475,995,1508,0.66,742,2060,2802,1321,451,275,984,1168,6215
